AirQualityStation,year_h,year_p,tree_h,grass_h,building_h,road_paved_h,water_h,agriculture_h,tree_p,grass_p,building_p,road_paved_p,water_p,agriculture_p,changeType,year_change,ht_building_p,roadType_h,roadType_p,stationVisible_h,stationVisible_p,sampler
no0097a,2010,2019,10,15,5,70,0,0,5,5,5,85,0,0,rapid,2018,low,2,6,yes,no,zander
hr0010a,2011,2019,2,88,10,0,0,0,5,85,10,0,0,0,,,low,0,0,yes,yes,zander
es1270a,2011,2020,0,0,40,60,0,0,0,0,40,60,0,0,,,high,2,2,no,no,zander
it1336a,2009,2018,5,60,15,20,0,0,20,35,15,30,0,0,gradual,,medium,1,1,no,no,zander
it2087a,2010,2021,5,60,5,30,0,0,5,35,5,55,0,0,rapid,2018,medium,1,1,yes,yes,zander
230031100,2011,2020,0,70,15,15,0,0,0,70,15,15,0,0,,,low,2,2,no,no,zander
gb0926a,2009,2019,15,10,55,20,0,0,10,10,55,25,0,0,rapid,2011,medium,2,2,yes,yes,zander
deby033,2010,2018,15,0,35,50,0,0,25,5,35,35,0,0,gradual,,medium,4,4,yes,yes,zander
es1697a,2010,2018,5,35,5,55,0,0,5,55,5,35,0,0,rapid,2011,medium,2,2,yes,yes,zander
gb0644a,2010,2019,10,50,30,10,0,0,10,20,50,20,0,0,rapid,2017,medium,2,2,yes,yes,zander
fr14028,2009,2020,20,0,60,20,0,0,20,0,60,20,0,0,,,medium,1,1,no,no,zander
ch0020a,2010,2019,30,0,60,10,0,0,30,0,60,10,0,0,,,medium,2,2,no,no,zander
es0120a,2010,2019,15,0,20,65,0,0,25,0,20,55,0,0,gradual,,high,2,2,no,no,zander
debw076,2009,2018,15,30,5,50,0,0,15,15,20,50,0,0,rapid,2012,medium,1,1,no,no,zander
121275002,2010,2019,20,40,5,35,0,0,25,45,0,30,0,0,gradual,,,1,1,no,no,zander
fr15013,2011,2020,15,30,5,50,0,0,15,10,25,50,0,0,rapid,2015,low,2,2,no,no,zander
at54057,,,,,,,,,,,,,,,,,,,,,,zander
ie0028a,2010,2019,65,10,15,10,0,0,5,0,60,35,0,0,rapid,2013,medium,3,3,no,no,zander
es1272a,2011,2020,10,5,20,65,0,0,15,5,20,60,0,0,gradual,,high,2,2,no,no,zander
tr0114a,2011,2019,0,80,0,20,0,0,0,30,15,55,0,0,rapid,2012,medium,0,0,no,no,zander
nl00537,2011,2019,10,0,35,55,0,0,15,5,35,45,0,0,rapid,2018,low,5,3,no,no,zander
it2056a,2010,2019,30,70,0,0,0,0,40,60,0,0,0,0,gradual,,no,0,0,no,no,zander
deby053,2009,2018,35,30,5,30,0,0,10,10,25,55,0,0,rapid,2011,medium,4,4,yes,yes,zander
bg0051a,2010,2019,80,0,10,10,0,0,90,0,5,5,0,0,gradual,,high,2,2,yes,yes,zander
it1646a,2012,2019,5,15,5,5,0,70,5,15,5,5,0,70,,,low,2,2,no,no,zander
gb1014a,2012,2019,0,0,35,65,0,0,0,0,35,65,0,0,,,medium,3,3,no,no,zander
fr41017,2007,2020,10,80,10,0,0,0,15,60,20,5,0,0,rapid,2018,low,1,1,yes,yes,zander
denw053,2010,2019,30,10,20,40,0,0,15,5,35,45,0,0,rapid,2016,medium,2,2,yes,yes,zander
261630094,2010,2019,10,70,0,20,0,0,10,70,0,20,0,0,,,low,1,1,yes,yes,zander
gb0918a,2010,2019,25,70,0,5,0,0,25,70,0,5,0,0,,,low,1,1,yes,yes,zander
it0775a,2009,2019,35,45,10,10,0,0,35,40,15,10,0,0,rapid,2012,medium,1,1,no,no,zander
fi00801,2012,2019,25,45,15,15,0,0,20,40,15,25,0,0,rapid,2017,medium,1,1,yes,yes,zander
es1309a,2010,2019,35,55,0,10,0,0,35,45,0,20,0,0,rapid,2016,low,0,0,no,no,zander
pl0072a,2010,2020,30,20,0,50,0,0,5,30,5,60,0,0,rapid,2018,low,4,4,yes,yes,zander
betr821,2013,2019,40,30,10,20,0,0,30,15,40,15,0,0,rapid,2017,low,0,0,no, no,zander
cz0molj,2009,2019,5,50,15,30,0,0,5,50,15,30,0,0,,,low,1,1,no, no,zander
es1231a,2010,2019,65,0,15,20,0,0,40,0,15,45,0,0,rapid,2013,high,2,2,no,no,zander
tr0022a,2010,2019,15,70,5,10,0,0,15,10,30,45,0,0,rapid,2018,high,1,1,no,no,zander
pl0089a,2010,2019,5,40,15,40,0,0,10,35,15,40,0,0,gradual,,medium,4,4,no,no,zander
fr05090,2011,2019,40,25,15,20,0,0,40,15,25,20,0,0,rapid,2018,high,2,2,no,no,zander
es1438a,2010,2019,40,0,20,40,0,0,55,0,20,25,0,0,gradual,,,,,,,zander
420270100,2012,2020,25,10,5,15,0,45,25,15,5,10,0,45,gradual,,,,,,,zander
fr15039,2011,2020,15,25,10,50,0,0,0,15,30,55,0,0,rapid,,,,,,,zander
180431004,2010,2020,15,5,0,0,0,80,5,35,35,25,0,0,,,,,,,,zander
fr05090,2011,2020,10,30,15,45,0,0,15,25,15,45,0,0,gradual,,medium,2,2,yes,yes,nuria
no0078a,,,,,,,,,,,,,,,,,low,2,2,no,yes,nuria
it1343a,2009,2020,0,0,0,0,0,100,0,0,0,0,0,100,,,,1,1,no,no,nuria
es1499a,2009,2020,20,25,15,15,25,0,40,5,15,15,25,0,gradual,,low,2,2,yes,yes,nuria
80310026,2010,2021,2,68,20,10,0,0,3,67,20,10,0,0,gradual,,low,1,1,no,yes,nuria
dehh021,2008,2020,30,40,5,25,0,0,30,40,5,25,0,0,,,low,1,1,no,no,nuria
bg0076a,2009,2020,12,43,20,25,0,0,15,40,20,25,0,0,gradual,,medium,,,no,yes,nuria
550790056,2011,2021,10,40,10,40,0,0,11,39,10,40,0,0,gradual,,low,6,6,no,yes,nuria
es1244a,2011,2021,2,10,20,68,0,0,7,25,20,48,0,0,gradual,,medium,2,2,no,no,nuria
171630900,2010,2020,0,40,5,55,0,0,0,40,5,55,0,0,,,low,1,1,yes,yes,nuria
290950018,2010,2021,10,20,15,55,0,0,10,20,15,55,0,0,,,low,2,2,no,yes,nuria
gb0840a,2009,2020,48,50,0,2,0,0,48,50,0,2,0,0,,,,,,yes,yes,nuria
80010006,2010,2020,3,55,22,20,0,0,3,55,22,20,0,0,,,low,2,2,yes,yes,nuria
denw095,2010,2020,20,50,25,5,0,0,20,50,25,5,0,0,,,low,2,2,yes,yes,nuria
pl0519a,2012,2020,15,20,20,45,0,0,15,15,20,50,0,0,gradual,,medium,2,2,no,no,nuria
demv007,2013,2022,5,10,0,10,0,75,5,10,0,10,0,75,,,,2,2,yes,yes,nuria
it0837a,2011,2021,15,15,0,10,5,55,15,15,0,10,5,55,,,,2,2,yes,yes,nuria
320310020,2010,2021,5,10,0,75,10,0,5,10,0,75,10,0,,,,2,2,yes,yes,nuria
betr820,2009,2021,15,50,10,10,15,0,20,45,10,10,15,0,gradual,,low,1,1,yes,yes,nuria
tr0035a,2011,2020,15,25,30,30,0,0,15,0,15,70,0,0,rapid,2014,high,2,2,no,no,nuria
fr19015,2010,2018,20,15,25,40,0,0,20,15,25,40,0,0,,,medium,4,4,yes,yes,nuria
es1464a,2010,2020,15,0,70,15,0,0,15,0,70,15,0,0,,,low,1,1,no,no,nuria
pl0046a,2008,2020,5,55,0,7,3,30,5,54,0,20,1,20,rapid,2019,,2,4,yes,yes,nuria
mk0043a,2009,2021,10,15,0,75,0,0,5,5,15,75,0,0,rapid,2015,low,8,8,yes,yes,nuria
dehh047,2008,2019,50,33,15,2,0,0,50,30,15,5,0,0,gradual,,low,1,1,no,yes,nuria
gb1046a,2011,2020,10,75,5,10,0,0,10,75,5,10,0,0,,,low,2,2,yes,yes,nuria
desl013,2008,2020,25,35,5,15,0,20,30,15,10,25,0,20,gradual,,low,2,2,no,yes,nuria
pl0559a,2011,2020,15,40,10,35,0,0,15,35,10,40,0,0,rapid,2015,low,2,2,no,yes,nuria
dest028,2008,2019,20,40,10,30,0,0,20,35,7,38,0,0,rapid,,low,2,2,yes,yes,nuria
es1271a,2011,2020,5,5,60,30,0,0,5,5,60,30,0,0,,,high,2,2,yes,yes,nuria
gr0010a,2007,2017,50,25,0,10,0,15,50,25,0,10,0,15,,,,1,1,no,no,nuria
390610048,2010,2020,10,5,5,80,0,0,0,5,30,65,0,0,rapid,2017,medium,6,6,no,yes,nuria
debb007,2008,2020,7,63,15,15,0,0,10,70,15,5,0,0,gradual,,low,1,1,yes,yes,nuria
it2128a,2013,2020,7,50,8,35,0,0,7,50,5,38,0,0,rapid,2016,medium,1,1,no,yes,nuria
nl00247,2009,2020,7,70,5,18,0,0,7,70,5,18,0,0,,,low,2,2,yes,yes,nuria
gb0921a,2009,2020,25,35,15,25,0,0,25,30,15,30,0,0,rapid,2013,medium,2,2,yes,yes,nuria
pl0489a,2011,2020,5,50,15,30,0,0,5,40,25,30,0,0,rapid,2016,medium,1,1,no,no,nuria
420692006,,,,,,,,,,,,,,,,,,,,,,nuria
it1078a,2010,2019,35,10,20,35,0,0,35,10,35,20,0,0,,,medium,4,4,yes,yes,philipp
480391004,2010,2019,2,88,5,5,0,0,5,85,5,5,0,0,gradual,,low,,,yes,yes,philipp
es0343a,2010,2017,100,0,0,0,0,0,100,0,0,0,0,0,,,no,0,0,no,no,philipp
it0897a,2008,2019,15,0,70,15,0,0,25,0,70,5,0,0,gradual,,high,2,2,no,no,philipp
denw030,2009,2019,45,15,15,25,0,0,10,5,50,35,0,0,gradual,,medium,,,yes,yes,philipp
demv019,2010,2019,5,25,35,35,0,0,10,20,35,35,0,0,gradual,,medium,2,2,no,yes,philipp
deni062,2010,2019,5,45,25,25,0,0,5,45,25,25,0,0,,,low,2,2,yes,yes,philipp
at9stad,2010,2019,15,35,20,30,0,0,15,25,30,30,0,0,rapid,2017,medium,2,2,yes,yes,philipp
no0104a,2009,2019,15,35,25,25,0,0,15,35,25,25,0,0,,,low,2,2,yes,yes,philipp
ie002ap,2009,2019,65,5,0,5,0,25,65,5,0,5,0,25,,,no,1,1,no,no,philipp
gb0583a,2008,2020,10,20,50,20,0,0,15,15,50,20,0,0,gradual,,low,2,2,no,no,philipp
at4s156,2010,2019,35,20,35,10,0,0,45,10,35,10,0,0,gradual,,low,1,1,no,no,philipp
es1067a,2010,2019,10,30,30,30,0,0,15,35,30,20,0,0,gradual,,low,1,1,yes,yes,philipp
at60107,2011,2021,35,30,20,10,5,0,35,25,20,15,5,0,gradual,,medium,2,2,yes,yes,philipp
cz0tovk,2010,2020,20,40,30,10,0,0,25,35,30,10,0,0,gradual,,high,1,1,yes,yes,philipp
371190041,2010,2019,10,80,5,5,0,0,5,70,10,5,0,10,gradual,,low,1,1,yes,yes,philipp
xk0001a,2012,2020,50,0,0,0,0,50,50,0,0,0,0,50,,,no,,,no,no,philipp
denw078,2010,2019,20,25,0,35,0,20,20,25,0,35,0,20,,,no,1,1,yes,yes,philipp
tr0101a,2011,2019,5,75,15,5,0,0,5,30,15,50,0,0,rapid,2014,low,1,1,no,no,philipp
fr12009,2011,2020,40,5,40,15,0,0,40,0,40,20,0,0,,,medium,2,2,no,no,philipp
it0940a,,,,,,,,,,,,,,,,,,,,,,philipp
pl0049a,2010,2019,30,65,0,5,0,0,20,20,10,50,0,0,rapid,2016,medium,1,1,yes,yes,philipp
es1868a,2012,2020,40,40,0,20,0,0,50,30,0,20,0,0,gradual,,,,,yes,yes,philipp
me0009a,2010,2020,10,85,0,5,0,0,10,85,0,5,0,0,,,,1,1,no,yes,philipp
denw115,2009,2019,20,10,50,20,0,0,30,0,50,20,0,0,gradual,,low,2,2,no,no,philipp
derp007,2010,2020,20,30,20,30,0,0,20,30,20,30,0,0,,,low,2,2,yes,yes,philipp
gb0633a,2009,2020,2,0,60,38,0,0,2,0,60,38,0,0,,,medium,2,2,no,no,philipp
rs0034a,2009,2020,20,30,20,30,0,0,20,30,20,30,0,0,,,low,2,2,yes,yes,philipp
it2140a,2011,2018,25,25,20,30,0,0,25,25,20,30,0,0,gradual,,low,2,2,yes,yes,philipp
pl0562a,2010,2019,10,40,20,30,0,0,15,35,20,30,0,0,gradual,,high,1,1,no,yes,philipp
fr19091,2014,2020,25,5,50,20,0,0,25,5,50,20,0,0,,,medium,1,1,no,no,philipp
cz0kkvm,2011,2020,20,15,10,55,0,0,20,15,10,55,0,0,,,medium,4,4,no,no,philipp
es2054a,2009,2020,5,65,20,10,0,0,5,55,30,10,0,0,gradual,,low,2,2,no,yes,philipp
fr26010,2011,2020,10,40,10,40,0,0,10,60,10,20,0,0,rapid,2013,low,2,2,yes,yes,philipp
180970078,2010,2020,10,30,10,50,0,0,10,30,10,50,0,0,,,low,2,2,yes,yes,philipp
derp011,2010,2020,30,0,35,35,0,0,30,0,35,35,0,0,,,medium,4,4,no,no,philipp
at90lob,2010,2019,30,20,0,10,40,0,30,30,0,10,30,0,,,no,2,2,yes,yes,philipp
cz0abra,2008,2019,40,40,0,20,0,0,55,35,0,10,0,0,gradual,,no,2,2,no,no,philipp
es0880a,2009,2020,20,5,35,40,0,0,20,5,35,40,0,0,,,medium,4,4,no,yes,philipp
deth013,2008,2020,40,10,20,30,0,0,50,0,20,30,0,0,gradual,,medium,2,2,yes,yes,philipp
401359021,2010,,5,85,5,5,0,0,10,85,5,0,0,0,gradual,,low,1,1,yes,yes,philipp
401359021,2010,2020,5,5,5,3,2,80,5,5,5,3,2,80,,,low,1,1,yes,yes,amir
gb1026a,2010,2020,15,55,15,15,0,0,15,55,15,15,0,0,,,low,2,2,no,yes,amir
340170006,2010,2020,5,50,25,20,0,0,5,45,30,20,0,0,gradual,,medium,2,2,no,no,amir
nl00704,2012,2020,0,32,3,15,50,0,0,32,3,15,50,0,,,low,1,1,yes,yes,amir
cz0ltas,2012,2019,40,25,10,25,0,0,40,25,10,25,0,0,,,low,2,2,no,no,amir
ch0043a,2011,2020,25,55,0,20,0,0,30,50,0,20,0,0,gradual,,,2,2,yes,no,amir
no0101a,2010,2020,20,35,5,40,0,0,20,35,5,40,0,0,,,low,4,4,no,no,amir
40070008,2011,2020,3,95,2,0,0,0,3,95,2,0,0,0,,,low,,,no,yes,amir
fi00889,2010,2018,30,5,15,50,0,0,30,5,15,50,0,0,,,high,4,4,no,yes,amir
r160512,2011,2020,40,32,8,20,0,0,40,32,8,20,0,0,,,low,2,2,no,yes,amir
it2073a,2011,2020,25,50,15,10,0,0,30,45,15,10,0,0,gradual,,medium,1,1,yes,yes,amir
gb0649a,2010,2021,3,35,3,2,0,57,3,64,3,30,0,0,rapid,2015,low,1,1,,,amir
nl00014,2009,2020,15,10,50,25,0,0,15,10,50,25,0,0,,,low,1,1,no,no,amir
it1476a,2011,2021,15,0,60,25,0,0,15,0,60,25,0,0,,,medium,4,4,no,no,amir
it1383a,,,,,,,,,,,,,,,,,,,,,,amir
fr18019,2012,2020,1,69,10,20,0,0,1,69,10,20,0,0,,,low,1,1,yes,yes,amir
gb0841a,2009,2020,2,5,15,28,0,50,3,5,15,27,0,50,gradual,,low,2,2,no,yes,amir
cz0llim,2012,2021,15,25,20,40,0,0,15,25,20,40,0,0,,,medium,1,1,no,no,amir
420110011,2012,2019,2,18,5,15,0,60,2,18,5,15,0,60,,,low,2,2,yes,yes,amir
desn006,2009,2021,15,35,5,40,5,0,15,35,2,43,5,0,rapid,2013,low,4,4,no,yes,amir
pl0127a,2010,2020,10,35,15,40,0,0,10,35,15,40,0,0,,,medium,2,2,no,no,amir
ro0186a,2011,2021,3,20,25,52,0,0,6,17,25,52,0,0,gradual,,low,2,2,yes,yes,amir
cz0emtr,2008,2019,35,30,20,15,0,0,34,30,20,16,0,0,gradual,,low,2,2,yes,no,amir
ie001bp,2007,2020,5,10,30,55,0,0,5,7,30,58,0,0,gradual,,low,2,2,no,no,amir
fr01064,2012,2019,5,5,5,50,35,0,5,5,5,50,35,0,,,medium,5,5,yes,yes,amir
lv0003a,2010,2020,8,7,45,40,0,0,10,5,45,40,0,0,,,medium,2,2,yes,yes,amir
se0043a,2010,2020,5,5,30,60,0,0,5,5,30,60,0,0,,,medium,2,2,no,no,amir
es0879a,2009,2020,1,25,35,39,0,0,2,24,35,39,0,0,gradual,,low,4,4,yes,yes,amir
410670005,2011,2020,10,10,5,75,0,0,10,10,5,75,0,0,,,,8,8,no,no,amir
dehe018,2009,2020,15,15,35,35,0,0,10,15,35,40,0,0,rapid,2013,low,2,2,yes,yes,amir
ro0068a,2009,2020,5,60,15,20,0,0,15,50,15,20,0,0,gradual,,low,1,1,yes,yes,amir
it1575a,2009,2019,50,25,5,20,0,0,60,15,5,20,0,0,gradual,,low,2,2,yes,yes,amir
es2039a,2009,2020,45,10,35,10,0,0,45,10,35,10,0,0,,,medium,1,1,yes,yes,amir
ro0123a,2010,2021,10,15,25,50,0,0,10,15,25,50,0,0,,,medium,2,2,no,no,amir
nl00551,2012,2020,15,35,15,30,5,0,15,35,15,30,5,0,,,medium,2,2,yes,yes,amir
mk0031a,2009,2020,25,25,30,20,0,0,27,18,35,20,0,0,gradual,,low,2,2,no,yes,amir
at90akc,2011,2021,20,30,30,20,0,0,20,30,30,20,0,0,,,low,2,2,no,yes,amir
130890003,2010,2020,10,37,3,50,0,0,10,37,3,50,0,0,,,low,6,6,no,yes,amir
tr0019a,2006,2020,5,30,35,30,0,0,5,15,45,35,0,0,gradual,,medium,2,2,no,no,amir
it1076a,2010,2020,5,80,10,5,0,0,5,80,10,5,0,0,,,low,1,1,yes,yes,amir
it2113a,2013,2021,25,25,20,30,0,0,23,26,21,30,0,0,rapid,2018,medium,2,2,no,yes,amir
it2113a,2013,2021,10,25,30,35,0,0,15,20,30,35,0,0,gradual,,medium,2,2,yes,yes,erik
es1974a,2011,2021,5,75,15,5,0,0,17,65,13,5,0,0,gradual,,low,2,2,yes,yes,erik
51190007,2009,2021,10,40,5,5,0,40,15,35,5,5,0,40,gradual,,low,2,2,yes,yes,erik
pl0214a,2010,2020,35,50,5,10,0,0,35,50,5,10,0,0,gradual,,low,2,2,maybe,maybe,erik
pl0168a,2012,2019,10,10,45,30,0,5,13,7,45,30,0,5,gradual,,medium,,,no,no,erik
pl0591a,2013,2018,2,60,25,13,0,0,2,60,25,13,0,0,no,,medium,2,2,maybe,maybe,erik
230050029,2010,2021,10,30,0,60,0,0,15,25,0,60,0,0,gradual,,no,5,5,yes,yes,erik
482011034,2011,2022,15,70,5,10,0,0,20,65,5,10,0,0,gradual,,low,2,2,yes,yes,erik
181270023,2011,2022,35,20,10,10,25,0,35,20,10,10,25,0,no,,low,1,1,yes,yes,erik
40134005,2010,2022,5,20,15,60,0,0,5,20,15,60,0,0,no,,low,2,2,yes,yes,erik
se0073a,2010,2022,0,5,45,50,0,0,0,5,45,50,0,0,no,,med,5,5,no,no,erik
no0099a,2010,2022,50,20,5,25,0,0,20,0,0,80,0,0,rapid,2020,no,,4,no,no,erik
330150018,2011,2019,20,35,0,25,0,20,30,25,0,25,0,20,gradual,,no,2,2,yes,yes,erik
es1320a,2009,2021,0,0,30,70,0,0,0,0,30,70,0,0,no,,med,2,2,yes,yes,erik
it1388a,2009,2022,0,0,20,0,0,80,0,0,20,0,0,80,no,,low,1,1,no,no,erik
es1358a,2011,2022,25,0,25,50,0,0,25,0,25,50,0,0,no,,high,2,2,no,no,erik
480391016,2011,2022,15,20,5,5,35,20,15,20,5,5,35,20,no,,low,1,1,yes,yes,erik
481671034,2011,2022,2,0,5,2,10,81,2,0,5,2,10,81,no,,low,1,1,yes,yes,erik
demv003,2007,2020,20,15,25,40,0,0,20,15,25,40,0,0,no,,medium,4,4,no,no,erik
no0102a,2009,2022,30,0,25,45,0,0,0,20,25,55,0,0,rapid,2014,medium,2,6,yes,yes,erik
nl00133,2009,2020,25,0,15,10,0,50,25,0,15,10,0,50,no,,medium,2,2,yes,yes,erik
471570100,2011,2022,10,25,0,65,0,0,10,25,0,65,0,0,no,,no,10,10,no,yes,erik
nl00138,2013,2020,10,25,20,15,0,30,10,25,20,15,0,30,no,,medium,2,2,no,yes,erik
fr82040,2006,2020,25,20,25,30,0,0,25,20,25,30,0,0,no,,medium,2,2,no,no,erik
230112005,2013,2020,25,70,5,0,0,0,25,70,5,0,0,0,no,,low,2,2,yes,no,erik
gb1038a,2010,2021,60,10,15,15,0,0,70,0,15,15,0,0,gradual,,low,2,2,no,no,erik
pl0101a,2012,2021,35,15,30,20,0,0,35,15,30,20,0,0,gradual,,medium,2,2,yes,yes,erik
ie0125a,2011,2022,30,15,35,20,0,0,30,15,35,20,0,0,none,,medium,4,4,no,no,erik
denw024,2009,2022,80,5,10,5,0,0,80,5,10,5,0,0,no,,high,2,2,yes,yes,erik
es1867a,2011,2022,20,25,20,35,0,0,20,25,20,35,0,0,no,,medium,1,1,no,no,erik
it1011a,2013,2021,10,15,10,15,50,0,15,10,10,15,50,0,gradual,,medium,2,2,no,no,erik
at51200,2012,2022,25,40,10,25,0,0,25,40,10,25,0,0,no,,medium,2,2,yes,yes,erik
pl0487a,2011,2021,15,55,25,5,0,0,15,55,25,5,0,0,no,,medium,1,1,yes,yes,erik
se0097a,2010,2021,5,15,40,40,0,0,5,15,40,40,0,0,no,,medium,1,1,no,no,erik
ie0131a,2012,2021,15,15,30,40,0,0,15,15,30,40,0,0,no,,medium,8,8,no,no,erik
pl0308a,2011,2022,0,80,15,5,0,0,10,25,25,40,0,0,rapid,2017,high,2,2,yes,yes,erik
it1582a,2011,2022,15,30,10,45,0,0,5,15,35,45,0,0,rapid,2016,high,2,2,no,no,erik
110010041,2010,2021,5,10,40,45,0,0,2,10,55,33,0,0,rapid,2014,high,2,2,no,no,erik
420031376,2010,2021,35,35,0,30,0,0,25,40,0,35,0,0,rapid,2012,no,4,4,no,yes,erik
deni052,2009,2018,10,25,15,10,0,40,20,20,15,10,0,35,gradual,,medium,1,1,yes,yes,erik
211110043,2009,2022,5,75,15,5,0,0,10,70,15,5,0,0,gradual,,medium,2,2,no,no,erik
211110043,2012,2020,5,60,25,10,0,0,5,65,20,10,0,0,Rapid,2020,low,2,2,Yes,Yes,sourangsu
deni054,2012,2020,80,5,10,5,0,0,80,5,13,2,0,0,,,low,1,1,yes,no,sourangsu
deby009,2009,2020,20,20,10,35,15,0,20,20,10,35,15,0,,,low,2,2,yes,yes,sourangsu
517600025,2011,2020,60,20,0,20,0,0,60,20,0,20,0,0,,,,4,4,no,yes,sourangsu
it0840a,2012,2020,0,50,10,40,0,0,0,35,10,55,0,0,Rapid,2014,low,2,2,no,no,sourangsu
deni020,2009,2020,15,70,5,10,0,0,25,60,5,10,0,0,Gradual,,low,4,4,yes,yes,sourangsu
pl0536a,2014,2021,25,25,30,20,0,0,20,30,30,20,0,0,,,medium,1,1,no,no,sourangsu
420030003,2010,2020,20,50,15,15,0,0,15,55,15,15,0,0,Gradual,,low,1,1,yes,yes,sourangsu
tr0053a,2010,2020,60,10,10,20,0,0,20,50,10,20,0,0,Gradual,,low,1,1,no,no,sourangsu
190330018,2011,2021,25,30,30,15,0,0,25,30,30,15,0,0,,,low,1,1,yes,yes,sourangsu
pl0495a,2008,2019,20,65,5,10,0,0,25,60,5,10,0,0,Gradual,,high,1,1,yes,yes,sourangsu
debw038,2012,2020,50,25,15,10,0,0,15,45,25,15,0,0,Gradual,,medium,1,1,yes,yes,sourangsu
fr34030,2010,2018,30,10,40,20,0,0,30,10,40,20,0,0,,,medium/high,2,2,yes,no,sourangsu
cz0torv,2009,2020,20,50,20,10,0,0,25,35,25,15,0,0,Rapid,2013,medium,2,2,yes,no,sourangsu
it0459a,2012,2021,5,85,0,10,0,0,7,83,0,10,0,0,Gradual,,,1,1,no,no,sourangsu
se0114a,2012,2020,10,20,20,50,0,0,10,20,20,50,0,0,,,,4,4,no,no,sourangsu
gb1034a,2010,2020,10,80,0,10,0,0,10,80,0,10,0,0,,,,2,2,no,yes,sourangsu
deth009,2010,2019,5,50,25,20,0,0,20,20,30,30,0,0,Rapid,2016,medium,,,no,yes,sourangsu
dk0046a,2011,2020,20,0,50,30,0,0,5,0,85,10,0,0,,2017-2018,high,2,2,yes,yes,sourangsu
gb0637a,2010,2020,10,5,50,35,0,0,5,5,60,30,0,0,Rapid,2010,medium,2,2,no,no,sourangsu
330150014,2010,2020,10,25,0,25,40,0,10,25,0,25,40,0,,,,2,2,yes,yes,sourangsu
tr0063a,2011,2020,5,10,80,5,0,0,5,0,75,20,0,0,Rapid,2014-15,"low in 2011, predomintly high in 2015",1,1,nno,no,sourangsu
ee0022a,2009,2020,20,40,20,20,0,0,30,30,20,20,0,0,Gradual,,medium,,,no,no,sourangsu
debw084,2009,2020,25,20,25,30,0,0,30,10,35,25,0,0,Rapid,2016,medium/low,,,yes,yes,sourangsu
130890002,2010,2020,70,25,0,5,0,0,60,40,0,0,0,0,Gradual,,,1,,yes,yes,sourangsu
gb1024a,2010,2020,25,25,35,15,0,0,25,25,35,15,0,0,,,,1,1,yes,yes,sourangsu
nl00448,,,,,,,,,,,,,,,,,,,,,,sourangsu
cz0ccbd,2008,2020,15,65,15,5,0,0,5,75,15,5,0,0,gradual,,,1,1,yes,yes,sourangsu
mk0030a,2009,2020,40,0,40,20,0,0,30,0,50,20,0,0,gradual,,,1,1,no,no,sourangsu
gb0995a,,,,,,,,,,,,,,,,,,,,,,sourangsu
gb1028a,2009,2020,15,30,25,30,0,0,15,30,25,30,0,0,,,,1,1,no,yes,sourangsu
it1488a,2010,2019,5,30,25,40,0,0,5,20,25,50,0,0,Rapid,2016,medium/low,2,2,yes,yes,sourangsu
530570018,2011,2020,0,90,0,10,0,0,0,40,0,60,0,0,Rapid,2014,,,,no,yes,sourangsu
at4s407,2011,2019,25,25,15,35,0,0,25,25,15,35,0,0,,,low,,,yes,yes,sourangsu
pl0621a,2012,2021,10,40,20,30,0,0,15,45,15,25,0,0,rapid,2019,medium,,,yes,yes,sourangsu
nl00550,,,,,,,,,,,,,,,,,,,,,,sourangsu
it2156a,,,,,,,,,,,,,,,,,,,,,,sourangsu
at30065,2012,2018,40,20,15,25,0,0,40,20,15,25,0,0,,,low,,,no,yes,sourangsu
pt01054,2010,2020,60,5,5,35,0,0,40,20,5,35,,,gradual,,,,,no,yes,sourangsu
fr33120,,,,,,,,,,,,,,,,,,,,,,sourangsu
fi00080,,,,,,,,,,,,,,,,,,,,,,sourangsu
90010010,2014,2019,0,10,10,80,0,0,0,40,10,50,0,0,,,,,,,,zander
it2061a,2014,2019,60,20,0,20,0,0,80,10,0,10,0,0,,,,,,,,zander
ch0043a,2010,2017,15,60,10,15,0,0,25,60,10,5,0,0,,,,,,,,zander
at4s407,2010,2017,35,25,5,35,0,0,40,35,5,20,0,0,,,,,,,,zander
it2075a,2012,2019,10,70,0,20,0,0,20,75,0,5,0,0,,,,,,,,zander
ro0068a,2011,2018,25,35,20,20,0,0,30,40,15,15,0,0,,,,,,,,zander
es1424a,2010,2020,0,10,15,75,0,0,10,40,15,35,0,0,,,,,,,,zander
fr33101,2010,2019,25,5,40,30,0,0,35,5,35,25,0,0,,,,,,,,zander
121275002,2010,2019,10,65,0,35,0,0,15,70,0,15,0,0,,,,,,,,zander
es1499a,2010,2019,60,5,10,10,15,0,75,5,10,5,5,0,,,,,,,,zander
261631005,2009,2019,0,5,0,95,0,0,0,65,10,25,0,0,,,,,,,,zander
bg0049a,2010,2014,5,15,10,70,0,0,10,20,10,60,0,0,,,,,,,,zander
